company_name,contact,address,city,state,zip,country,phone,email,fax,notes,operations,commodities,url
A S G Produce Inc,,PO BOX 25160,FRESNO,CA,93729-5160,USA,(559) 325-3011,craig@asgproduce.com,(559) 421-1946,,"Buying Broker, Shipper, Produce,","Apples, Deciduous, Fruits, Grapes, Strawberries,",Http://www.asgproduce.com
A S G Produce Inc,,162 MONTGOMERY AVE,OXNARD,CA,93036-1075,USA,(805) 981-1839,,(805) 981-1842,,"Buying Broker, Distributor, Shipper, Produce,","Apples, Fruits, Grapes, Strawberries,",
AAA Produce Exchange Inc,,"1100 Otter Ave, Ste H",WATERFORD,MI,48328-4755,USA,(248) 681-9020,aaaprod@aol.com,(248) 681-9003,,"Broker, Distributor, Shipper, Produce,","Cantaloupes, Onions, Potatoes, Watermelons,",
"Accursio & Sons Packing & Produce Inc, Sam S",,PO BOX 901767,HOMESTEAD,FL,33090-1767,USA,(305) 246-3455,,(305) 245-2682,,"Broker, Grower, Packer, Shipper, Produce,","Green Beans, Okra, Peppers, Pickle Cucumbers, Squash, Sweet Corn, Tomatoes,",
Agrow Fresh Produce Co Inc,,4540 S KOLMAR AVE,CHICAGO,IL,60632-4415,USA,(773) 254-2600,philn@agrowfresh.com,(773) 254-3494,,"Distributor, Grower, Packer, Shipper, Produce,","Fruits, Onions, PMA Member, Potatoes, Vegetables,",Http://www.agrowfresh.com
Agrow Fresh Produce Co Inc,,605 4th St NE,EAST GRAND FORKS,MN,56721-3108,USA,(218) 773-8531,,,,"Distributor, Grower, Packer, Shipper, Produce,","Fruits, Onions, Potatoes, Vegetables,",
Akin & Porter Produce Inc,,PO BOX D,GREENFIELD,TN,38230-0328,USA,(731) 235-2551,,,,"Buying Broker, Shipper, Produce,","Fruits, Vegetables,",
Akin & Porter Produce Inc,,PO BOX D,GREENFIELD,TN,38230-0328,USA,(731) 235-2551,,(731) 235-9171,,"Buying Broker, Shipper, Produce,","Cabbage, Chili, Cucumbers, Green Beans, Green Peas, Mixed Vegetables, Okra, Peppers, PMA Member, Squash, Strawberries, Tomatoes,",
Akin & Porter Produce Inc,,STATE FARMERS MKT,THOMASVILLE,GA,31792,USA,(229) 226-1737,,,,"Broker, Shipper, Produce,","Cucumbers, Eggplant, Green Beans, Okra, Peppers, Squash, Sweet Potatoes,",
Akin & Porter Produce of Plant City,,State Farmers Mkt,CAIRO,GA,31728,USA,(229) 377-8085,,,,"Buying Broker, Shipper, Produce,","Green Peas, Mixed Vegetables, Okra, Pecans,",
Albert's Midwest,,5222 Quincy St,MOUNDS VIEW,MN,55112-1426,USA,(856) 241-9090,lbibb@albertsorganics.com,,,"Jobber, Shipper, Produce,","Fruits, Organic, Vegetables,",Http://www.albertsorganics.com
Alberts Organics Denver,,15965 E 32nd AVE,AURORA,CO,80011,USA,(303) 537-0247,jsmirniotis@albertsorganics.com,(303) 537-0156,,"Distributor, Shipper, Produce,","Apples, Bananas, Broccoli, Broccoli, Carrots, Cherries, Fruits, Grapefruit, Lemons, Lettuce, Onions, Oranges, Organic, Peaches, Pears, Potatoes, Vegetables,",Http://www.albertsorganics.com
Albert's Organics Inc Eastern Division,,PO Box 624,BRIDGEPORT,NJ,08014-0624,USA,(856) 241-9090,smartinez@albertsorganics.com,(856) 241-9676,,"Jobber, Shipper, Produce,","Apples, Bananas, Broccoli, Carrots, Cherries, Grapefruit, Lemons, Lemons, Lettuce, Organic,",Http://www.albertsorganics.com
Albert's Organics Inc Headquarters,,PO BOX 624,BRIDGEPORT,NJ,08014-0624,USA,(856) 241-9090,kluttecke@albertsorganics.com,(856) 241-9677,,"Corporate Headquarters, Jobber, Shipper, Produce,","Apples, Bananas, Broccoli, Carrots, Cherries, Fruits, Grapefruit, Lemons, Lettuce, Oranges, Organic, PMA Member, Vegetables,",Http://www.albertsorganics.com
Albert's Organics Inc West,,3268 East Vernon Ave,VERNON,CA,90058-1821,USA,(323) 587-6367,kcourtney@albertsorganics.com,(323) 587-6667,,"Broker, Shipper, Produce,","Apples, Artichokes, Asparagus, Avocados, Bananas, Beets, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupes, Carrots, Cauliflower, Celery, Cherries, Chili, Cranberries, Cucumbers, Eggplant, Escarole, Figs, Fresh Cut, Fruits, Garlic, Grapefruit, Grapes, Green Beans, Green Onions, Green Peas, Greens, Herbs, Honeydew Melons, Leeks, Lemons, Lettuce, Melons, Mushrooms, Nuts, Okra, Onions, Oranges, Organic, Papayas, Peaches, Pears, Peppers, Pineapples, Plums, PMA Member, Potatoes, Pumpkins, Radishes, Raspberries, Romaine, Rutabaga, Saladmix, Spinach, Sprouts, Squash, Strawberries, Sweet Corn, Sweet Potatoes, Tangelos, Tomatoes, Turnips, Vegetables, Watermelons,",Http://www.albertsorganics.com
